id,community,address,building,unit,areaSqm,roomType,bedrooms,livingRooms,bathrooms,floorLevel,floorTotal,floorBand,orientation,decoration,buildYear,buildingAgeYears,propertyType,totalPriceWan,unitPriceWanPerSqm,communityRefPriceWanPerSqm,priceVsRefPct,priceTag,priceDropped,daysOnMarket,listingTitle,highlights,sellingPoint,compromise,metro,targetBuyer,aiSummary
"lshy-1","罗山花苑","浦东新区碧云明月路199弄","12 号","402 室","116","3室2厅2卫","3","2","2","4","6","中楼层","南北","简装","2000","26","住宅","900","7.79","8.3","-6.1","低于参考价","false","24","业主变现诚意出售，南北通好位置三房","南北通透 / 户型方正 / 小区花园位置 / 满五年","罗山花苑稀缺三房，一单元少户设计，位置安静不临路，全南户型采光好，业主置换诚意出售，价格可谈。","多层 6 楼无电梯，高楼层爬楼略辛苦；装修为早年简装，可按喜好重装。","9 号线蓝天路站 1100m","改善型家庭","【罗山花苑 12 号402 室】，116㎡ 3室2厅2卫 南北向，中楼层(4/6层)，2000年建简装，总价900万(7.79万/㎡，低于参考价)，亮点：南北通透、户型方正，注意：多层 6 楼无电梯，高楼层爬楼略辛苦；装修为早年简装，可按喜好重装；适合：改善型家庭"
"lshy-10","罗山花苑","浦东新区碧云明月路199弄","55 号","201 室","75","2室2厅1卫","2","2","1","2","6","低楼层","南","简装","2000","26","住宅","480","6.39","8.3","-23","明显低于参考价","false","4","下一套成交房源，电梯房小区花园位置，价可谈","小区花园位置 / 已加装电梯 / 价格可谈 / 满五年","本栋已加装电梯，二楼半层即到，正对小区花园景观，房东急售价可谈，参考近期成交价性价比突出。","简装空关，需要买家自行装修。","9 号线蓝天路站 1100m","刚需/上车盘","【罗山花苑 55 号201 室】，75㎡ 2室2厅1卫 南向，低楼层(2/6层)，2000年建简装，总价480万(6.39万/㎡，明显低于参考价)，亮点：小区花园位置、已加装电梯，注意：简装空关，需要买家自行装修；适合：刚需/上车盘"
"lshy-11","罗山花苑","浦东新区碧云明月路199弄","60 号","102 室","116","3室2厅2卫","3","2","2","1","6","低楼层","南","精装","1999","27","住宅","650","5.63","8.3","-32.2","明显低于参考价","true","47","业主急卖小区花园位置，南北通户型，自住5年装修，满五唯一","一楼带大花园 / 地暖 / 自住精装 / 满五唯一税费低","116㎡ 三房带 40㎡ 私家花园，自住五年精装带地暖，满五唯一税费极少，业主置换急卖，单价小区最低。","一楼楼层低；花园使用权需与物业确认边界。","9 号线蓝天路站 1100m","改善型家庭","【罗山花苑 60 号102 室】，116㎡ 3室2厅2卫 南向，低楼层(1/6层)，1999年建精装，总价650万(5.63万/㎡，明显低于参考价)，亮点：一楼带大花园、地暖，注意：一楼楼层低；花园使用权需与物业确认边界；适合：改善型家庭"
"lshy-12","罗山花苑","浦东新区碧云明月路199弄","66 号","502 室","75","2室2厅1卫","2","2","1","5","6","高楼层","南","精装","2002","24","住宅","560","7.44","8.3","-10.4","明显低于参考价","false","21","从未看到如此清爽的装修，户型方正，看房随时，送车位","精装修清爽 / 送固定车位 / 地暖 / 满五年","5 楼采光好，装修保养得非常清爽可直接入住，带地暖，附赠一个固定租赁车位，看房随时方便。","顶楼（6 层中的 5 楼为次顶）；无电梯。","9 号线蓝天路站 1100m","刚需/上车盘","【罗山花苑 66 号502 室】，75㎡ 2室2厅1卫 南向，高楼层(5/6层)，2002年建精装，总价560万(7.44万/㎡，明显低于参考价)，亮点：精装修清爽、送固定车位，注意：顶楼（6 层中的 5 楼为次顶）；无电梯；适合：刚需/上车盘"
"lshy-13","罗山花苑","浦东新区碧云明月路199弄","72 号","401 室","53","1室1厅1卫","1","1","1","4","6","中楼层","南北","精装","2003","23","住宅","500","9.43","8.3","13.6","明显高于参考价","false","11","碧云小户型，带个车位，精装全送，租金可达 6000","小户型低总价 / 带产权车位 / 精装全送 / 租金回报高","53㎡ 精装一房，家具家电全送，带一个车位，碧云国际社区租赁需求旺，月租金约 6000 元，适合投资或单身自住。","一房只适合单身/小两口；单价偏高。","9 号线蓝天路站 1100m","刚需/上车盘","【罗山花苑 72 号401 室】，53㎡ 1室1厅1卫 南北向，中楼层(4/6层)，2003年建精装，总价500万(9.43万/㎡，明显高于参考价)，亮点：小户型低总价、带产权车位，注意：一房只适合单身/小两口；单价偏高；适合：刚需/上车盘"
"lshy-14","罗山花苑","浦东新区碧云明月路199弄","26 号","601 室","69","3室1厅2卫","3","1","2","6","6","高楼层","南北","精装","2001","25","住宅","630","9.12","8.3","9.9","明显高于参考价","false","3","罗山花苑新出复式，看房方便","顶层复式 / 三房两卫 / 精装修 / 满五年","69㎡ 复式做三房两卫，楼上主卧套房设计，精装修拎包入住，楼上两层互不干扰，适合一家四口。","顶楼无电梯；复式上层层高略低。","9 号线蓝天路站 1100m","刚需/上车盘","【罗山花苑 26 号601 室】，69㎡ 3室1厅2卫 南北向，高楼层(6/6层)，2001年建精装，总价630万(9.12万/㎡，明显高于参考价)，亮点：顶层复式、三房两卫，注意：顶楼无电梯；复式上层层高略低；适合：刚需/上车盘"
"lshy-15","罗山花苑","浦东新区碧云明月路199弄","8 号","302 室","69","2室2厅1卫","2","2","1","3","6","中楼层","南","精装","2000","26","住宅","540","7.8","8.3","-6","低于参考价","true","26","罗山花苑 2室2厅，精装修南北通精装两房","南北通透 / 精装修 / 三楼好楼层 / 满五年","69㎡ 精装两房，客厅带窗南北通风，三楼黄金楼层，装修保养好可拎包入住，满五年税费少。","面积紧凑，餐厅位置较小。","9 号线蓝天路站 1100m","刚需/上车盘","【罗山花苑 8 号302 室】，69㎡ 2室2厅1卫 南向，中楼层(3/6层)，2000年建精装，总价540万(7.8万/㎡，低于参考价)，亮点：南北通透、精装修，注意：面积紧凑，餐厅位置较小；适合：刚需/上车盘"
"lshy-2","罗山花苑","浦东新区碧云明月路199弄","18 号","301 室","121","3室2厅2卫","3","2","2","3","6","中楼层","南","精装","2001","25","住宅","950","7.84","8.3","-5.5","低于参考价","false","28","户型正气大三房，上实隔壁小区，绿化多","户型方正 / 三房朝南 / 近上海市实验学校东校 / 满五年","121㎡ 大三房，客厅面宽 4.2 米，主卧带阳台，小区绿化高，紧邻上实东校，接送方便。","总价偏高，三房预算需要 900 万以上。","9 号线蓝天路站 1100m","改善型家庭","【罗山花苑 18 号301 室】，121㎡ 3室2厅2卫 南向，中楼层(3/6层)，2001年建精装，总价950万(7.84万/㎡，低于参考价)，亮点：户型方正、三房朝南，注意：总价偏高，三房预算需要 900 万以上；适合：改善型家庭"
"lshy-3","罗山花苑","浦东新区碧云明月路199弄","22 号","501 室","115.55","3室2厅2卫","3","2","2","5","6","高楼层","南","精装","2002","24","住宅","1000","8.65","8.3","4.2","高于参考价","false","8","新上电梯三房，电梯已经在运行，电梯高区花苑位置","已加装电梯 / 高楼层视野好 / 采光无遮挡 / 拎包入住","本栋已完成电梯加装并投入使用，5 楼高区视野开阔，115㎡ 三房精装保养好，罗山花苑里少见的电梯三房。","电梯为后加装，公摊使用需共同维护；报价为本小区高位。","9 号线蓝天路站 1100m","改善型家庭","【罗山花苑 22 号501 室】，115.55㎡ 3室2厅2卫 南向，高楼层(5/6层)，2002年建精装，总价1000万(8.65万/㎡，高于参考价)，亮点：已加装电梯、高楼层视野好，注意：电梯为后加装，公摊使用需共同维护；报价为本小区高位；适合：改善型家庭"
"lshy-4","罗山花苑","浦东新区碧云明月路199弄","30 号","401 室","74.98","2室2厅1卫","2","2","1","4","6","中楼层","南北","精装","2002","24","住宅","588","7.84","8.3","-5.5","低于参考价","true","37","必看好房｜上实隔壁｜二房热门户型｜不靠马路｜好楼层","南北通透 / 热门两房 / 不靠马路 / 满五年","75㎡ 经典两房，南北通透厅房同宽，4 楼好楼层不爬高，不靠马路安静，房东诚心出售近期必卖。","单卫生间，次卧面积略小。","9 号线蓝天路站 1100m","刚需/上车盘","【罗山花苑 30 号401 室】，74.98㎡ 2室2厅1卫 南北向，中楼层(4/6层)，2002年建精装，总价588万(7.84万/㎡，低于参考价)，亮点：南北通透、热门两房，注意：单卫生间，次卧面积略小；适合：刚需/上车盘"
